start
266,242
260,242
254,242
248,242
242,242
236,242
230,242
224,242
218,242
212,242
206,242
200,242
194,242
190,240
186,238
182,236
178,234
174,232
170,230
168,226
166,222
164,218
162,214
160,210
158,206
158,200
158,194
158,188
158,182
160,178
162,174
164,170
166,166
170,164
174,162
178,160
182,158
188,158
194,158
200,158
206,158
210,160
214,162
218,164
222,166
224,170
226,174
228,178
230,182
230,188
230,194
230,200
230,206
228,210
226,214
224,218
222,222
218,224
214,226
210,228
206,230
200,230
194,230
188,230
182,230
176,230
170,230
166,228
162,226
158,224
154,222
150,220
146,218
144,214
142,210
140,206
138,202
136,198
134,194
134,188
134,182
134,176
end
