start
90,-16
90,-10
90,-4
90,2
90,8
90,14
90,20
90,26
90,32
90,38
90,44
90,50
90,56
91,61
92,66
93,71
94,76
96,80
98,84
100,88
102,92
105,95
108,98
111,101
114,104
117,107
120,110
123,113
126,116
130,118
134,120
138,122
142,124
146,126
150,128
154,130
158,132
161,135
164,138
167,141
170,144
172,148
174,152
176,156
178,160
179,165
180,170
181,175
182,180
182,186
182,192
182,198
182,204
181,209
180,214
179,219
178,224
176,228
174,232
172,236
170,240
167,243
164,246
161,249
158,252
154,254
150,256
146,258
142,260
137,261
132,262
127,263
122,264
116,264
110,264
104,264
98,264
93,263
88,262
83,261
78,260
74,258
70,256
66,254
62,252
59,249
56,246
53,243
50,240
48,236
46,232
44,228
42,224
41,219
40,214
39,209
38,204
38,198
38,192
38,186
end
