start
144,-16
144,-10
144,-4
144,2
144,8
144,14
144,20
144,26
144,32
144,38
144,44
144,50
144,56
143,61
142,66
141,71
140,76
138,80
136,84
134,88
132,92
129,95
126,98
123,101
120,104
117,107
114,110
111,113
108,116
104,118
100,120
96,122
92,124
88,126
84,128
80,130
76,132
73,135
70,138
67,141
64,144
62,148
60,152
58,156
56,160
55,165
54,170
53,175
52,180
52,186
52,192
52,198
52,204
53,209
54,214
55,219
56,224
58,228
60,232
62,236
64,240
67,243
70,246
73,249
76,252
80,254
84,256
88,258
92,260
97,261
102,262
107,263
112,264
118,264
124,264
130,264
136,264
141,263
146,262
151,261
156,260
160,258
164,256
168,254
172,252
175,249
178,246
181,243
184,240
186,236
188,232
190,228
192,224
193,219
194,214
195,209
196,204
196,198
196,192
196,186
end
