start
144,-16
144,-10
144,-4
144,2
144,8
144,14
144,20
144,26
144,32
144,38
144,44
144,50
144,56
142,60
140,64
138,68
136,72
134,76
132,80
130,84
128,88
126,92
124,96
122,100
120,104
116,106
112,108
108,110
104,112
100,114
96,116
94,120
92,124
90,128
88,132
88,138
88,144
88,150
88,156
90,160
92,164
94,168
96,172
100,174
104,176
108,178
112,180
116,182
120,184
126,184
132,184
138,184
144,184
148,182
152,180
156,178
160,176
162,172
164,168
166,164
168,160
168,154
168,148
168,142
end
